service_type,year,month,status,rows_written,existing_rows,expected_rows,message
yellow,2024,1,success,2964624,0,2964624,ok
green,2024,1,success,56551,0,56551,ok
yellow,2015,1,success,12741035,0,12741035,ok
yellow,2015,2,success,12442394,0,12442394,ok
yellow,2015,3,success,13342951,0,13342951,ok
yellow,2015,4,success,13063758,0,13063758,ok
yellow,2015,5,success,13157677,0,13157677,ok
yellow,2015,6,success,12324936,0,12324936,ok
yellow,2015,7,success,11559666,0,11559666,ok
yellow,2015,8,success,11123123,0,11123123,ok
yellow,2015,9,success,11218122,0,11218122,ok
yellow,2015,10,success,12307333,0,12307333,ok
yellow,2015,11,success,11305240,0,11305240,ok
yellow,2015,12,success,11452996,0,11452996,ok
yellow,2016,1,success,10905067,0,10905067,ok
yellow,2016,2,success,11375412,0,11375412,ok
yellow,2016,3,success,12203824,0,12203824,ok
yellow,2016,4,success,11927996,0,11927996,ok
yellow,2016,5,success,11832049,0,11832049,ok
yellow,2016,6,success,11131645,0,11131645,ok
yellow,2016,7,success,10294080,0,10294080,ok
yellow,2016,8,success,9942263,0,9942263,ok
yellow,2016,9,success,10116018,0,10116018,ok
yellow,2016,10,success,10854626,0,10854626,ok
yellow,2016,11,success,10102128,0,10102128,ok
yellow,2016,12,success,10446697,0,10446697,ok
yellow,2017,1,success,9710820,0,9710820,ok
yellow,2017,2,success,9169775,0,9169775,ok
yellow,2017,3,success,10295441,0,10295441,ok
yellow,2017,4,success,10047135,0,10047135,ok
yellow,2017,5,success,10102127,0,10102127,ok
yellow,2017,6,success,9656993,0,9656993,ok
yellow,2017,7,success,8588486,0,8588486,ok
yellow,2017,8,success,8422153,0,8422153,ok
yellow,2017,9,success,8945421,0,8945421,ok
yellow,2017,10,success,9768672,0,9768672,ok
yellow,2017,11,success,9284803,0,9284803,ok
yellow,2017,12,success,9508501,0,9508501,ok
yellow,2018,1,success,8760687,0,8760687,ok
yellow,2018,2,success,8492819,0,8492819,ok
yellow,2018,3,success,9431289,0,9431289,ok
yellow,2018,4,success,9306216,0,9306216,ok
yellow,2018,5,success,9224788,0,9224788,ok
yellow,2018,6,success,8714667,0,8714667,ok
yellow,2018,7,success,7851143,0,7851143,ok
yellow,2018,8,success,7855040,0,7855040,ok
yellow,2018,9,success,8049094,0,8049094,ok
yellow,2018,10,success,8834520,0,8834520,ok
yellow,2018,11,success,8155449,0,8155449,ok
yellow,2018,12,success,8195675,0,8195675,ok
yellow,2019,1,success,7696617,0,7696617,ok
yellow,2019,2,success,7049370,0,7049370,ok
yellow,2019,3,success,7866620,0,7866620,ok
yellow,2019,4,success,7475949,0,7475949,ok
yellow,2019,5,success,7598445,0,7598445,ok
yellow,2019,6,success,6971560,0,6971560,ok
yellow,2019,7,success,6310419,0,6310419,ok
yellow,2019,8,success,6073357,0,6073357,ok
yellow,2019,9,success,6567788,0,6567788,ok
yellow,2019,10,success,7213891,0,7213891,ok
yellow,2019,11,success,6878111,0,6878111,ok
yellow,2019,12,success,6896317,0,6896317,ok
yellow,2020,1,success,6405008,0,6405008,ok
yellow,2020,2,success,6299367,0,6299367,ok
yellow,2020,3,success,3007687,0,3007687,ok
yellow,2020,4,success,238073,0,238073,ok
yellow,2020,5,success,348415,0,348415,ok
yellow,2020,6,success,549797,0,549797,ok
yellow,2020,7,success,800412,0,800412,ok
yellow,2020,8,success,1007286,0,1007286,ok
yellow,2020,9,success,1341017,0,1341017,ok
yellow,2020,10,success,1681132,0,1681132,ok
yellow,2020,11,success,1509000,0,1509000,ok
yellow,2020,12,success,1461898,0,1461898,ok
yellow,2021,1,success,1369769,0,1369769,ok
yellow,2021,2,success,1371709,0,1371709,ok
yellow,2021,3,success,1925152,0,1925152,ok
yellow,2021,4,success,2171187,0,2171187,ok
yellow,2021,5,success,2507109,0,2507109,ok
yellow,2021,6,success,2834264,0,2834264,ok
yellow,2021,7,success,2821746,0,2821746,ok
yellow,2021,8,success,2788757,0,2788757,ok
yellow,2021,9,success,2963793,0,2963793,ok
yellow,2021,10,success,3463504,0,3463504,ok
yellow,2021,11,success,3472949,0,3472949,ok
yellow,2021,12,success,3214369,0,3214369,ok
yellow,2022,1,success,2463931,0,2463931,ok
yellow,2022,2,success,2979431,0,2979431,ok
yellow,2022,3,success,3627882,0,3627882,ok
yellow,2022,4,success,3599920,0,3599920,ok
yellow,2022,5,success,3588295,0,3588295,ok
yellow,2022,6,success,3558124,0,3558124,ok
yellow,2022,7,success,3174394,0,3174394,ok
yellow,2022,8,success,3152677,0,3152677,ok
yellow,2022,9,success,3183767,0,3183767,ok
yellow,2022,10,success,3675411,0,3675411,ok
yellow,2022,11,success,3252717,0,3252717,ok
yellow,2022,12,success,3399549,0,3399549,ok
yellow,2023,1,success,3066766,0,3066766,ok
yellow,2023,2,success,2913955,0,2913955,ok
yellow,2023,3,success,3403766,0,3403766,ok
yellow,2023,4,success,3288250,0,3288250,ok
yellow,2023,5,success,3513649,0,3513649,ok
yellow,2023,6,success,3307234,0,3307234,ok
yellow,2023,7,success,2907108,0,2907108,ok
yellow,2023,8,success,2824209,0,2824209,ok
yellow,2023,9,success,2846722,0,2846722,ok
yellow,2023,10,success,3522285,0,3522285,ok
yellow,2023,11,success,3339715,0,3339715,ok
yellow,2023,12,success,3376567,0,3376567,ok
yellow,2024,1,skipped_existing,0,2964624,2964624,already loaded
yellow,2024,2,success,3007526,0,3007526,ok
yellow,2024,3,success,3582628,0,3582628,ok
yellow,2024,4,success,3514289,0,3514289,ok
yellow,2024,5,success,3723833,0,3723833,ok
yellow,2024,6,success,3539193,0,3539193,ok
yellow,2024,7,success,3076903,0,3076903,ok
yellow,2024,8,success,2979183,0,2979183,ok
yellow,2024,9,success,3633030,0,3633030,ok
yellow,2024,10,success,3833771,0,3833771,ok
yellow,2024,11,success,3646369,0,3646369,ok
yellow,2024,12,success,3668371,0,3668371,ok
yellow,2025,1,success,3475226,0,3475226,ok
yellow,2025,2,success,3577543,0,3577543,ok
yellow,2025,3,success,4145257,0,4145257,ok
yellow,2025,4,success,3970553,0,3970553,ok
yellow,2025,5,success,4591845,0,4591845,ok
yellow,2025,6,success,4322960,0,4322960,ok
yellow,2025,7,success,3898963,0,3898963,ok
yellow,2025,8,success,3574091,0,3574091,ok
yellow,2025,9,success,4251015,0,4251015,ok
yellow,2025,10,success,4428699,0,4428699,ok
yellow,2025,11,success,4181444,0,4181444,ok
yellow,2025,12,success,4305006,0,4305006,ok
green,2015,1,success,1508493,0,1508493,ok
green,2015,2,success,1574830,0,1574830,ok
green,2015,3,success,1722574,0,1722574,ok
green,2015,4,success,1664394,0,1664394,ok
green,2015,5,success,1786848,0,1786848,ok
green,2015,6,success,1638868,0,1638868,ok
green,2015,7,success,1541671,0,1541671,ok
green,2015,8,success,1532343,0,1532343,ok
green,2015,9,success,1494927,0,1494927,ok
green,2015,10,success,1630536,0,1630536,ok
green,2015,11,success,1529984,0,1529984,ok
green,2015,12,success,1608297,0,1608297,ok
green,2016,1,success,1445292,0,1445292,ok
green,2016,2,success,1510722,0,1510722,ok
green,2016,3,success,1576393,0,1576393,ok
green,2016,4,success,1543926,0,1543926,ok
green,2016,5,success,1536979,0,1536979,ok
green,2016,6,success,1404727,0,1404727,ok
green,2016,7,success,1332510,0,1332510,ok
green,2016,8,success,1247675,0,1247675,ok
green,2016,9,success,1162373,0,1162373,ok
green,2016,10,success,1252572,0,1252572,ok
green,2016,11,success,1148214,0,1148214,ok
green,2016,12,success,1224158,0,1224158,ok
green,2017,1,success,1069565,0,1069565,ok
green,2017,2,success,1022313,0,1022313,ok
green,2017,3,success,1157827,0,1157827,ok
green,2017,4,success,1080844,0,1080844,ok
green,2017,5,success,1059463,0,1059463,ok
green,2017,6,success,976467,0,976467,ok
green,2017,7,success,914783,0,914783,ok
green,2017,8,success,867407,0,867407,ok
green,2017,9,success,882464,0,882464,ok
green,2017,10,success,925737,0,925737,ok
green,2017,11,success,874173,0,874173,ok
green,2017,12,success,906016,0,906016,ok
green,2018,1,success,792744,0,792744,ok
green,2018,2,success,769197,0,769197,ok
green,2018,3,success,836246,0,836246,ok
green,2018,4,success,799383,0,799383,ok
green,2018,5,success,796552,0,796552,ok
green,2018,6,success,738546,0,738546,ok
green,2018,7,success,684374,0,684374,ok
green,2018,8,success,675815,0,675815,ok
green,2018,9,success,682032,0,682032,ok
green,2018,10,success,731888,0,731888,ok
green,2018,11,success,673287,0,673287,ok
green,2018,12,success,719654,0,719654,ok
green,2019,1,success,672105,0,672105,ok
green,2019,2,success,615594,0,615594,ok
green,2019,3,success,643063,0,643063,ok
green,2019,4,success,567852,0,567852,ok
green,2019,5,success,545452,0,545452,ok
green,2019,6,success,506238,0,506238,ok
green,2019,7,success,470743,0,470743,ok
green,2019,8,success,449695,0,449695,ok
green,2019,9,success,449063,0,449063,ok
green,2019,10,success,476386,0,476386,ok
green,2019,11,success,449500,0,449500,ok
green,2019,12,success,455294,0,455294,ok
green,2020,1,success,447770,0,447770,ok
green,2020,2,success,398632,0,398632,ok
green,2020,3,success,223496,0,223496,ok
green,2020,4,success,35644,0,35644,ok
green,2020,5,success,57361,0,57361,ok
green,2020,6,success,63110,0,63110,ok
green,2020,7,success,72258,0,72258,ok
green,2020,8,success,81063,0,81063,ok
green,2020,9,success,87987,0,87987,ok
green,2020,10,success,95120,0,95120,ok
green,2020,11,success,88605,0,88605,ok
green,2020,12,success,83130,0,83130,ok
green,2021,1,success,76518,0,76518,ok
green,2021,2,success,64572,0,64572,ok
green,2021,3,success,83827,0,83827,ok
green,2021,4,success,86941,0,86941,ok
green,2021,5,success,88180,0,88180,ok
green,2021,6,success,86737,0,86737,ok
green,2021,7,success,83691,0,83691,ok
green,2021,8,success,83499,0,83499,ok
green,2021,9,success,95709,0,95709,ok
green,2021,10,success,110891,0,110891,ok
green,2021,11,success,108229,0,108229,ok
green,2021,12,success,99961,0,99961,ok
green,2022,1,success,62495,0,62495,ok
green,2022,2,success,69399,0,69399,ok
green,2022,3,success,78537,0,78537,ok
green,2022,4,success,76136,0,76136,ok
green,2022,5,success,76891,0,76891,ok
green,2022,6,success,73718,0,73718,ok
green,2022,7,success,64192,0,64192,ok
green,2022,8,success,65929,0,65929,ok
green,2022,9,success,69031,0,69031,ok
green,2022,10,success,69322,0,69322,ok
green,2022,11,success,62313,0,62313,ok
green,2022,12,success,72439,0,72439,ok
green,2023,1,success,68211,0,68211,ok
green,2023,2,success,64809,0,64809,ok
green,2023,3,success,72044,0,72044,ok
green,2023,4,success,65392,0,65392,ok
green,2023,5,success,69174,0,69174,ok
green,2023,6,success,65550,0,65550,ok
green,2023,7,success,61343,0,61343,ok
green,2023,8,success,60649,0,60649,ok
green,2023,9,success,65471,0,65471,ok
green,2023,10,success,66177,0,66177,ok
green,2023,11,success,64025,0,64025,ok
green,2023,12,success,64215,0,64215,ok
green,2024,1,skipped_existing,0,56551,56551,already loaded
green,2024,2,success,53577,0,53577,ok
green,2024,3,success,57457,0,57457,ok
green,2024,4,success,56471,0,56471,ok
green,2024,5,success,61003,0,61003,ok
green,2024,6,success,54748,0,54748,ok
green,2024,7,success,51837,0,51837,ok
green,2024,8,success,51771,0,51771,ok
green,2024,9,success,54440,0,54440,ok
green,2024,10,success,56147,0,56147,ok
green,2024,11,success,52222,0,52222,ok
green,2024,12,success,53994,0,53994,ok
green,2025,1,success,48326,0,48326,ok
green,2025,2,success,46621,0,46621,ok
green,2025,3,success,51539,0,51539,ok
green,2025,4,success,52132,0,52132,ok
green,2025,5,success,55399,0,55399,ok
green,2025,6,success,49390,0,49390,ok
green,2025,7,success,48205,0,48205,ok
green,2025,8,success,46306,0,46306,ok
green,2025,9,success,48893,0,48893,ok
green,2025,10,success,49416,0,49416,ok
green,2025,11,success,46912,0,46912,ok
green,2025,12,success,48236,0,48236,ok
